feature,category
aurora_borealis,sky
barn,man made
beach,aquatic
boat,aquatic
bridge,man made
building,man made
bushes,trees and plants
cabin,man made
cactus,trees and plants
cirrus,clouds
cliff,nature
clouds,clouds
conifer,trees and plants
cumulus,clouds
deciduous,trees and plants
dock,aquatic
farm,man made
fence,man made
fire,general nature
flowers,trees and plants
fog,general nature
grass,trees and plants
hills,general nature
lake,aquatic
lakes,aquatic
lighthouse,man made
mill,man made
moon,sky
mountain,general nature
mountains,general nature
night,sky
ocean,aquatic
palm_trees,trees and plants
path,man made
person,man made
portrait,man made
river,aquatic
rocks,general nature
season,general nature
snow,general nature
snowy_mountain,general nature
structure,man made
sun,sky
tree,trees and plants
trees,trees and plants
waterfall,aquatic
waves,aquatic
windmill,man made
winter,general nature